variation,age_group,process_step,avg_time_sec
Control,"Over 55",confirm,242.0568
Control,30-55,confirm,594.3897
Control,"Under 30",confirm,588.3351
Test,"Over 55",confirm,442.4519
Test,30-55,confirm,651.7582
Test,"Under 30",confirm,1263.8316
Control,"Over 55",start,204.9192
Control,30-55,start,166.8846
Control,"Under 30",start,131.3989
Test,"Over 55",start,208.1591
Test,30-55,start,167.2092
Test,"Under 30",start,157.9514
Control,"Over 55",step_1,203.4088
Control,30-55,step_1,177.3109
Control,"Under 30",step_1,140.1576
Test,"Over 55",step_1,236.9373
Test,30-55,step_1,185.9715
Test,"Under 30",step_1,170.4682
Control,"Over 55",step_2,208.9599
Control,30-55,step_2,191.2260
Control,"Under 30",step_2,161.0247
Test,"Over 55",step_2,249.4631
Test,30-55,step_2,219.5816
Test,"Under 30",step_2,208.5160
Control,"Over 55",step_3,225.5723
Control,30-55,step_3,156.4371
Control,"Under 30",step_3,124.7734
Test,"Over 55",step_3,288.5185
Test,30-55,step_3,197.4089
Test,"Under 30",step_3,215.0659
